HR
58
62
60
60
62
63
62
62
63
62
64
60
60
58
63
63
62
69
60
58
62
60
60
62
63
62
62
63
62
64
60
60
58
63
63
62
69
60
65
67
65
69
69
69
63
69
63
67
60
65
71
69
65
69
67
69
63
67
62
60
58
62
69
77
71
75
78
76
60
60
69
63
65
60
69
65
63
71
63
65
71
65
71
75
84
82
78
84
73
77
82
80
77
84
86
84
86
69
69
73
69
65
71
60
73
73
73
