HR
56
57
62
60
60
58
61
59
59
61
61
65
65
61
59
62
61
58
60
56
57
59
60
60
59
61
59
58
60
63
62
64
61
59
64
61
58
60
74
77
80
79
77
80
64
61
62
65
61
65
75
74
74
76
79
81
67
69
72
71
69
73
66
68
63
66
68
67
67
64
63
62
62
63
67
68
65
68
67
60
77
76
79
75
80
79
79
82
83
85
83
82
87
86
85
83
81
69
69
69
71
71
72
72
74
74
74
